procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 30959664 229608 31098724    0    0     0     0 3676 4836  8  0 92  0  0
 1  0      0 30945612 229616 31098716    0    0     0    28 3768 5241  9  0 91  0  0
 1  0      0 30925952 229616 31098764    0    0     0    44 3729 5358  7  0 93  0  0
 1  0      0 30925952 229624 31098760    0    0     0    64 3715 4495  6  0 94  0  0
 2  0      0 30919336 229624 31098772    0    0     0     4 3954 5730  9  0 91  0  0
 1  0      0 30906292 229624 31098776    0    0     0     0 3997 6067  9  0 91  0  0
 2  0      0 30899676 229624 31098784    0    0     0     0 3866 6255  6  0 94  0  0
 1  0      0 30899172 229632 31098780    0    0     0    84 3943 6368  7  0 93  0  0
 1  0      0 30885876 229640 31098804    0    0     0    32 3873 5774 11  0 89  0  0
 1  0      0 30864200 229640 31098816    0    0     0    28 3687 4607  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30863444 229640 31098824    0    0     0     0 3761 5060  6  0 94  0  0
 1  0      0 30858088 229640 31098828    0    0     0     0 3572 4939  8  0 92  0  0
 1  0      0 30853488 229648 31098828    0    0     0    12 3752 6777  8  0 92  0  0
 1  0      0 30848888 229656 31098860    0    0     0   112 3669 4375  6  0 94  0  0
 1  0      0 30848384 229656 31098872    0    0     0     0 3587 4507  6  0 94  0  0
 1  0      0 30842272 229656 31098880    0    0     0     0 3751 4513  6  0 94  0  0
 1  0      0 30837924 229656 31098884    0    0     0     0 3941 6483  7  0 93  0  0
 1  0      0 30837168 229656 31098888    0    0     0     0 3921 7580  7  0 93  0  0
 1  0      0 30826960 229664 31098948    0    0     0    12 3883 8360  6  0 93  0  0
 1  0      0 30822108 229664 31098964    0    0     0    44 3709 4691  6  0 94  0  0
 1  0      0 30822108 229664 31098968    0    0     0     0 3701 4478  6  0 94  0  0
 1  0      0 30822108 229664 31098976    0    0     0     0 3640 5060  6  0 94  0  0
 2  0      0 30821604 229672 31098972    0    0     0   404 4157 30732  7  0 92  0  0
 1  0      0 30821104 229680 31099820    0    0     0    28 3714 23945  6  0 93  0  0
 3  0      0 30816756 229680 31100092    0    0     0     0 3800 20462  7  1 93  0  0
 6  0      0 30799616 229680 31100100    0    0     0    72 13478 28273 20  5 75  0  0
 5  0      0 30764236 229680 31100108    0    0     0     0 116712 334497 29 12 59  0  0
 8  0      0 30727120 229688 31100108    0    0     0    92 65086 168558 32  6 62  0  0
 8  0      0 30722784 229696 31100108    0    0     0    32 87836 254280 30  8 62  0  0
 6  0      0 30683396 229696 31100120    0    0     0    40 129220 374233 34 10 56  0  0
 6  0      0 30674952 229696 31100124    0    0     0    40 63002 184823 32  6 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 30670604 229696 31100132    0    0     0     0 152782 475081 28 14 59  0  0
 4  0      0 30670604 229704 31100152    0    0     0    28 44073 139898 26  7 67  0  0
 5  0      0 30670352 229712 31100260    0    0     0    28 46563 116683 25  7 69  0  0
 2  0      0 30620696 229712 31100272    0    0     0     0 5792 13635 15  1 84  0  0
 2  0      0 30620696 229712 31100312    0    0     0     0 3814 4483 13  0 87  0  0
 2  0      0 30583328 229712 31100320    0    0     0     0 3792 5582 12  0 87  0  0
 2  0      0 30509444 229720 31100316    0    0     0    16 3877 7636 12  0 87  0  0
 2  0      0 30447248 229728 31100340    0    0     0    12 3706 7432 13  0 87  0  0
 2  0      0 30410384 229728 31100352    0    0     0     0 3784 5880 13  0 87  0  0
 2  0      0 30396080 229728 31100360    0    0     0     0 3637 5226 13  0 87  0  0
 2  0      0 30379760 229736 31100356    0    0     0    20 3675 5263 13  0 87  0  0
 2  0      0 30359280 229736 31100368    0    0     0     4 3758 5319 13  0 86  0  0
 2  0      0 30338056 229744 31100400    0    0     0    40 3745 4190 13  0 87  0  0
 2  0      0 30320664 229744 31100416    0    0     0     0 3764 4369 13  0 87  0  0
 2  0      0 30277044 229744 31100420    0    0     0     0 4039 4308 13  0 87  0  0
 2  0      0 30267340 229744 31100424    0    0     0     0 3969 5264 13  0 87  0  0
 1  0      0 30267088 229744 31100432    0    0     0     0 3947 4952  7  0 93  0  0
 1  0      0 30267088 229752 31100428    0    0     0    12 3599 4462  7  0 94  0  0
 1  0      0 30267088 229752 31100440    0    0     0     0 3714 4577  6  0 94  0  0
 1  0      0 30267088 229752 31100444    0    0     0     0 3529 4488  6  0 94  0  0
 1  0      0 30267088 229760 31100444    0    0     0    12 3670 4548  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30262992 229760 31100456    0    0     0     0 3654 5645  7  0 93  0  0
 1  0      0 30254800 229768 31100500    0    0     0  1012 3428 4601  6  0 94  0  0
 1  0      0 30246608 229768 31100512    0    0     0     0 3331 4498  6  0 94  0  0
 1  0      0 30238164 229768 31100524    0    0     0     0 3408 4563  6  0 94  0  0
 1  0      0 30229720 229768 31100528    0    0     0     0 3366 4609  6  0 94  0  0
 1  0      0 30212076 229776 31100524    0    0     0    28 3546 4669  6  0 94  0  0
 1  0      0 30211572 229784 31100532    0    0     0    12 3604 4615  6  0 94  0  0
 1  0      0 30202624 229784 31100548    0    0     0     0 3575 4705  6  0 94  0  0
 1  0      0 30198528 229784 31100548    0    0     0     0 3621 4497  6  0 94  0  0
 1  0      0 30174576 229784 31100556    0    0     0   276 3414 4754  6  0 94  0  0
 1  0      0 30162560 229784 31100564    0    0     0     4 3536 5244  7  0 93  0  0
 1  0      0 30162560 229792 31100592    0    0     0    40 3576 4495  6  0 94  0  0
 1  0      0 30145924 229792 31100604    0    0     0    28 3470 4515  6  0 94  0  0
 1  0      0 30131872 229792 31100608    0    0     0     0 3536 5238  6  0 94  0  0
 1  0      0 30131620 229792 31100616    0    0     0     0 3595 4934  7  0 94  0  0
 1  0      0 30125256 229792 31100620    0    0     0     0 3613 4553  6  0 94  0  0
 1  0      0 30121160 229800 31100640    0    0     0    72 3445 4485  6  0 94  0  0
 1  0      0 30121160 229800 31100652    0    0     0     0 3426 4485  6  0 94  0  0
 1  0      0 30121160 229800 31100660    0    0     0     0 3382 4395  6  0 94  0  0
 1  0      0 30112968 229808 31100656    0    0     0    24 3430 4424  6  0 94  0  0
 1  0      0 30108872 229808 31100668    0    0     0     0 3629 5452  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30100440 229816 31100692    0    0     0    12 3622 4493  6  0 94  0  0
 1  0      0 30096344 229816 31100708    0    0     0     0 3556 4438  6  0 94  0  0
 1  0      0 30088152 229816 31100708    0    0     0     0 3643 4497  6  0 94  0  0
 1  0      0 30084056 229816 31100720    0    0     0     0 3551 4473  6  0 94  0  0
 1  0      0 30075864 229816 31100724    0    0     0     0 3582 4503  6  0 94  0  0
 1  0      0 30067672 229824 31100720    0    0     0    12 3589 4493  6  0 94  0  0
 1  0      0 30059480 229824 31100732    0    0     0     0 3775 4519  6  0 94  0  0
 1  0      0 30055384 229824 31100736    0    0     0     0 3609 4630  6  0 94  0  0
 1  0      0 30049272 229824 31100744    0    0     0    20 3616 5488  6  0 94  0  0
 1  0      0 30041080 229824 31100768    0    0     0     0 3753 5559  7  0 93  0  0
 1  0      0 30018080 229832 31100796    0    0     0    20 3738 5151  6  0 94  0  0
 1  0      0 30010960 229832 31100808    0    0     0     0 3755 4706  6  0 94  0  0
 1  0      0 30010960 229832 31100816    0    0     0     0 3754 4639  6  0 94  0  0
 1  0      0 30009952 229832 31100820    0    0     0     0 3720 4596  6  0 94  0  0
 1  0      0 30006344 229840 31100816    0    0     0    32 4075 5692  7  0 93  0  0
 1  0      0 29992884 229848 31100820    0    0     0    16 4242 6626  8  0 92  0  0
 1  0      0 29992632 229848 31100836    0    0     0     0 3875 6160  6  0 94  0  0
 1  0      0 29992632 229848 31100836    0    0     0     0 3697 5421  6  0 94  0  0
 1  0      0 29992632 229848 31100844    0    0     0     0 3533 4257  6  0 94  0  0
 1  0      0 29992632 229848 31100856    0    0     0   300 3542 5178  7  0 93  0  0
 1  0      0 29992380 229864 31100884    0    0     0   608 3796 4842  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29987780 229864 31100900    0    0     0     0 3560 4589  6  0 94  0  0
 1  0      0 29987780 229864 31100904    0    0     0     0 3349 4562  6  0 94  0  0
 1  0      0 29987780 229864 31100912    0    0     0    24 3376 4591  6  0 94  0  0
 1  0      0 29987780 229864 31100936    0    0     0     0 3525 4774  6  0 94  0  0
 1  0      0 29987780 229872 31100932    0    0     0    12 3553 4863  6  0 94  0  0
 1  0      0 29987780 229880 31100940    0    0     0    20 3564 4401  6  0 94  0  0
 1  0      0 29987780 229880 31100956    0    0     0     0 3531 4325  6  0 94  0  0
 1  0      0 29987528 229880 31100960    0    0     0     0 3529 4342  6  0 94  0  0
 1  0      0 29983432 229880 31100964    0    0     0     0 3598 5294  7  0 93  0  0
 1  0      0 29983432 229888 31100988    0    0     0    12 3529 4420  6  0 94  0  0
 1  0      0 29983432 229888 31101004    0    0     0     0 3536 4415  6  0 94  0  0
 1  0      0 29983432 229888 31101004    0    0     0     0 3676 4436  6  0 94  0  0
 1  0      0 29979336 229888 31101012    0    0     0     0 3499 4514  6  0 94  0  0
 1  0      0 29979336 229888 31101016    0    0     0     0 3428 4299  6  0 94  0  0
 1  0      0 29979336 229896 31101012    0    0     0    16 3454 4336  6  0 94  0  0
 1  0      0 29975240 229904 31101020    0    0     0    12 3509 4361  6  0 94  0  0
 1  0      0 29975240 229904 31101032    0    0     0     4 3465 4307  6  0 94  0  0
 1  0      0 29975240 229904 31101040    0    0     0     0 3550 4326  6  0 94  0  0
 1  0      0 29967048 229904 31101040    0    0     0     0 3601 5370  7  0 93  0  0
 1  0      0 29967048 229912 31101092    0    0     0    12 3502 4763  6  0 94  0  0
 1  0      0 29967048 229912 31101104    0    0     0    64 3224 4673  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29966796 229920 31101100    0    0     0    56 3343 4372  6  0 94  0  0
 1  0      0 29966796 229920 31101112    0    0     0     0 3451 4331  6  0 94  0  0
 1  0      0 29962700 229920 31101120    0    0     0     0 3439 4431  6  0 94  0  0
 1  0      0 29958604 229928 31101112    0    0     0   120 3410 4425  6  0 94  0  0
 1  0      0 29954508 229928 31101128    0    0     0     0 3400 4317  6  0 94  0  0
 1  0      0 29954508 229928 31101132    0    0     0     4 3387 4322  6  0 94  0  0
 1  0      0 29954508 229928 31101136    0    0     0     0 3494 4974  6  0 94  0  0
 1  0      0 29954508 229940 31101128    0    0     0    44 3570 5204  7  0 93  0  0
 1  0      0 29954508 229948 31101176    0    0     0   200 3451 4551  6  0 94  0  0
 1  0      0 29954508 229948 31101188    0    0     0    24 3437 4450  7  0 93  0  0
 1  0      0 29950160 229948 31101192    0    0     0     0 3482 4396  6  0 94  0  0
 1  0      0 29946064 229948 31101200    0    0     0     0 3580 4410  6  0 94  0  0
 1  0      0 29946064 229956 31100800    0    0     0   272 3452 4544  6  0 93  0  0
 1  0      0 29945812 229964 31100992    0    0     0    12 3617 4657  6  0 94  0  0
 1  0      0 29945812 229964 31101004    0    0     0     8 3541 4329  6  0 94  0  0
 1  0      0 29945812 229964 31101008    0    0     0     0 3367 4190  6  0 94  0  0
 1  0      0 29945812 229964 31101012    0    0     0     0 3341 4369  6  0 94  0  0
 1  0      0 29945812 229976 31101008    0    0     0    48 3511 5245  7  0 93  0  0
 1  0      0 29941716 229984 31101044    0    0     0   136 3552 4586  6  0 94  0  0
 1  0      0 29941716 229984 31101056    0    0     0     0 3473 5544  6  0 94  0  0
 1  0      0 29937620 229984 31101060    0    0     0     0 3748 4631  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29937620 229984 31101068    0    0     0     0 3446 4388  6  0 94  0  0
 1  0      0 29937620 229984 31101068    0    0     0     0 3650 4611  6  0 94  0  0
 1  0      0 29937620 229992 31101072    0    0     0    24 3761 4593  6  0 94  0  0
 1  0      0 29933524 229992 31101084    0    0     0     0 3665 4559  6  0 94  0  0
 1  0      0 29933524 229992 31101084    0    0     0     0 3638 4431  6  0 94  0  0
 1  0      0 29933524 229992 31101092    0    0     0     0 3510 4545  6  0 94  0  0
 1  0      0 29929428 229992 31101116    0    0     0     0 3627 5375  7  0 93  0  0
 1  0      0 29929428 230000 31101148    0    0     0    12 3465 4417  6  0 94  0  0
 1  0      0 29929428 230000 31101164    0    0     0     0 3415 4536  6  0 94  0  0
 1  0      0 29925108 230000 31101172    0    0     0     0 3464 4372  6  0 94  0  0
 1  0      0 29925108 230000 31101172    0    0     0     0 3378 4118  6  0 94  0  0
 1  0      0 29924604 230000 31101180    0    0     0     0 3459 4306  6  0 94  0  0
 1  0      0 29924644 230016 31101168    0    0     0    28 3553 4579  6  0 94  0  0
 1  0      0 29924644 230016 31101188    0    0     0     0 3594 4631  6  0 94  0  0
 1  0      0 29920548 230016 31101192    0    0     0     0 3496 4521  6  0 94  0  0
 1  0      0 29920548 230016 31101200    0    0     0     0 3414 4432  6  0 94  0  0
 1  0      0 29920548 230016 31101204    0    0     0    60 3583 5307  7  0 93  0  0
 1  0      0 29908260 230024 31101236    0    0     0    12 3459 4525  6  0 94  0  0
 1  0      0 29908260 230028 31101244    0    0     0   168 3471 4516  6  0 94  0  0
 1  0      0 29908260 230028 31101256    0    0     0     0 3377 4767  6  0 94  0  0
 1  0      0 29904164 230028 31101256    0    0     0     0 3270 4408  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29904164 230028 31101280    0    0     0     0 3463 4698  6  0 94  0  0
 1  0      0 29904164 230036 31101284    0    0     0    44 3421 4425  6  0 94  0  0
 1  0      0 29904164 230036 31101292    0    0     0     4 3427 4625  6  0 94  0  0
 1  0      0 29904164 230036 31101300    0    0     0    44 3456 4674  6  0 94  0  0
 1  0      0 29904164 230036 31101304    0    0     0     0 3540 4837  6  0 94  0  0
 1  0      0 29904164 230044 31101300    0    0     0    20 3719 5974  7  0 93  0  0
 1  0      0 29903912 230052 31101340    0    0     0    12 3618 4450  6  0 94  0  0
 1  0      0 29899312 230052 31101356    0    0     0     0 3773 4521  6  0 94  0  0
 1  0      0 29899060 230052 31101356    0    0     0     0 3735 4435  6  0 94  0  0
 1  0      0 29894964 230052 31101364    0    0     0     0 3501 4309  6  0 94  0  0
 1  0      0 29894964 230052 31101368    0    0     0     0 3472 4344  6  0 94  0  0
 1  0      0 29894964 230060 31101368    0    0     0    12 3297 4160  6  0 94  0  0
 1  0      0 29894964 230060 31101376    0    0     0    36 3501 4158  6  0 94  0  0
 1  0      0 29894964 230060 31101384    0    0     0     0 3716 4449  6  0 94  0  0
 1  0      0 29894964 230060 31101392    0    0     0     0 3775 4445  6  0 94  0  0
 2  0      0 29894964 230060 31101392    0    0     0     0 3983 5192  7  0 93  0  0
 1  0      0 29894964 230068 31101440    0    0     0    12 3471 4484  6  0 94  0  0
 1  0      0 29890868 230068 31101452    0    0     0   128 3630 4494  6  0 94  0  0
 1  0      0 29890868 230068 31101456    0    0     0     4 3685 4572  6  0 94  0  0
 1  0      0 29890868 230068 31101460    0    0     0     0 3604 4511  6  0 94  0  0
 1  0      0 29890868 230068 31101468    0    0     0     0 3596 4584  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29890868 230084 31101464    0    0     0    36 3378 4554  6  0 94  0  0
 1  0      0 29890868 230084 31101476    0    0     0     0 3455 4488  6  0 94  0  0
 1  0      0 29890868 230084 31101480    0    0     0     0 3441 5013  6  0 94  0  0
 1  0      0 29890868 230084 31101484    0    0     0     0 3342 4755  6  0 94  0  0
 1  0      0 29882676 230084 31101492    0    0     0     0 3447 5590  7  0 93  0  0
 1  0      0 29882424 230092 31101524    0    0     0    12 3347 4361  6  0 94  0  0
 1  0      0 29882424 230092 31101532    0    0     0     0 3369 4205  6  0 94  0  0
 1  0      0 29882424 230092 31101544    0    0     0   160 3527 4473  6  0 94  0  0
 1  0      0 29882424 230092 31101548    0    0     0     0 3554 4439  6  0 94  0  0
 1  0      0 29882424 230092 31101568    0    0     0     0 3520 4448  6  0 94  0  0
 1  0      0 29882424 230100 31101572    0    0     0    28 3471 4475  6  0 94  0  0
 1  0      0 29882424 230100 31101584    0    0     0     0 3459 4585  6  0 94  0  0
 1  0      0 29882424 230100 31101592    0    0     0     0 3418 4957  6  0 94  0  0
 1  0      0 29878328 230100 31101592    0    0     0     0 3383 4313  6  0 94  0  0
 1  0      0 29878328 230108 31101592    0    0     0    12 3527 5252  7  0 93  0  0
 1  0      0 29878328 230116 31101628    0    0     0    24 3601 4608  6  0 94  0  0
 1  0      0 29874232 230116 31101640    0    0     0     0 3644 4507  6  0 94  0  0
 1  0      0 29874232 230116 31101644    0    0     0     0 3513 4447  6  0 94  0  0
 1  0      0 29869884 230116 31101652    0    0     0     0 3538 4325  6  0 94  0  0
 1  0      0 29869884 230116 31101652    0    0     0     0 3551 4853  6  0 94  0  0
 1  0      0 29869884 230124 31101652    0    0     0    12 3654 5583  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29869884 230124 31101664    0    0     0     0 3340 4437  6  0 94  0  0
 1  0      0 29869884 230124 31101672    0    0     0     0 3368 4341  6  0 94  0  0
 1  0      0 29865788 230132 31101668    0    0     0    12 3472 4464  6  0 94  0  0
 1  0      0 29865536 230132 31101704    0    0     0     0 3622 5228  7  0 93  0  0
 1  0      0 29861440 230140 31101728    0    0     0    12 3474 4498  6  0 94  0  0
 1  0      0 29861440 230140 31101744    0    0     0     0 3515 4463  6  0 94  0  0
 1  0      0 29861440 230140 31101752    0    0     0     0 3538 4537  6  0 94  0  0
 1  0      0 29857344 230140 31101756    0    0     0    60 3461 4639  6  0 94  0  0
 1  0      0 29853248 230148 31101752    0    0     0    20 3480 4885  6  0 94  0  0
 1  0      0 29853248 230156 31101756    0    0     0    12 3435 4400  6  0 94  0  0
 1  0      0 29853248 230156 31101772    0    0     0    20 3516 4471  6  0 94  0  0
 1  0      0 29853248 230156 31101772    0    0     0     0 3496 4409  6  0 94  0  0
 1  0      0 29853248 230156 31101780    0    0     0     0 3456 4384  6  0 94  0  0
 2  0      0 29849152 230156 31101784    0    0     0     0 3646 5228  7  0 93  0  0
 1  0      0 29849152 230164 31101812    0    0     0    12 3585 4608  6  0 94  0  0
 1  0      0 29849152 230172 31101816    0    0     0    12 3570 4499  6  0 94  0  0
 1  0      0 29849152 230172 31101836    0    0     0   128 3525 4502  6  0 94  0  0
 1  0      0 29849152 230172 31101836    0    0     0     0 3487 4385  6  0 94  0  0
 1  0      0 29845056 230172 31101860    0    0     0     0 3594 4558  7  0 93  0  0
 1  0      0 29845056 230180 31101860    0    0     0    24 3462 4488  6  0 94  0  0
 1  0      0 29840960 230180 31101872    0    0     0     0 3531 4488  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29840960 230180 31101876    0    0     0     0 3627 4522  6  0 94  0  0
 1  0      0 29840960 230180 31101880    0    0     0   200 3585 4591  6  0 94  0  0
 1  0      0 29840960 230180 31101884    0    0     0     0 3555 5235  7  0 93  0  0
 1  0      0 29840708 230196 31101904    0    0     0    60 3314 4489  6  0 94  0  0
 1  0      0 29840708 230196 31101928    0    0     0     0 3476 5342  6  0 94  0  0
 1  0      0 29836612 230196 31101928    0    0     0     0 3446 5264  7  0 93  0  0
 1  0      0 29836108 230196 31101936    0    0     0     0 3562 4534  6  0 94  0  0
 1  0      0 29835856 230196 31101940    0    0     0     0 3544 4608  6  0 94  0  0
 1  0      0 29831760 230204 31101944    0    0     0    12 3482 4442  6  0 94  0  0
 1  0      0 29831760 230204 31101948    0    0     0     0 3465 4469  6  0 94  0  0
 1  0      0 29827664 230204 31101956    0    0     0     0 3643 5067  6  0 94  0  0
 1  0      0 29827664 230204 31101960    0    0     0    20 3504 4867  6  0 94  0  0
 1  0      0 29826656 230204 31101968    0    0     0     0 3804 5701  7  0 93  0  0
 1  0      0 29817960 230212 31102020    0    0     0    12 3549 4413  6  0 94  0  0
 1  0      0 29812856 230212 31102032    0    0     0     0 3503 4313  6  0 94  0  0
 1  0      0 29812856 230212 31102036    0    0     0     0 3535 4201  6  0 94  0  0
 1  0      0 29812856 230220 31102036    0    0     0    16 3439 4767  6  0 94  0  0
 1  0      0 29807248 230220 31102052    0    0     0     0 3711 4603  6  0 94  0  0
 2  0      0 29775248 230228 31102048    0    0     0    12 4097 5698  8  0 92  0  0
 1  0      0 29783832 230228 31102064    0    0     0     4 4189 7454  7  0 93  0  0
 1  0      0 29777972 230228 31102072    0    0     0     4 3572 5952  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29777972 230228 31102072    0    0     0     0 3353 4124  6  0 94  0  0
 1  0      0 29777972 230228 31102076    0    0     0     0 3638 5153  7  0 93  0  0
 1  0      0 29773876 230244 31102104    0    0     0   608 3778 4683  6  0 94  0  0
 1  0      0 29769528 230244 31102112    0    0     0     4 3675 4555  6  0 94  0  0
 1  0      0 29765180 230244 31102120    0    0     0     0 3645 4584  6  0 94  0  0
 1  0      0 29765180 230244 31102124    0    0     0     0 3697 4402  6  0 94  0  0
 1  0      0 29761084 230244 31102128    0    0     0     0 3616 4608  6  0 94  0  0
 2  0      0 29752892 230252 31102148    0    0     0    12 3727 5335  6  0 94  0  0
 1  0      0 29748544 230260 31102152    0    0     0    48 3534 4663  6  0 94  0  0
 1  0      0 29744448 230260 31102168    0    0     0     0 3564 4491  6  0 94  0  0
 1  0      0 29744448 230260 31102168    0    0     0     0 3629 4447  6  0 94  0  0
 1  0      0 29736256 230260 31102176    0    0     0   360 3816 5612  7  0 93  0  0
 1  0      0 29732160 230268 31102204    0    0     0    40 3808 4620  6  0 94  0  0
 1  0      0 29727308 230268 31102216    0    0     0     0 3907 4549  6  0 94  0  0
 1  0      0 29723212 230268 31102220    0    0     0     0 3713 4401  6  0 94  0  0
 1  0      0 29723212 230268 31102228    0    0     0     0 3793 4426  6  0 94  0  0
 1  0      0 29719116 230268 31102228    0    0     0     0 3657 4732  6  0 94  0  0
 1  0      0 29715020 230284 31102220    0    0     0    32 3589 4892  6  0 94  0  0
 1  0      0 29710924 230284 31102236    0    0     0     0 3574 4365  6  0 94  0  0
 1  0      0 29710924 230284 31102244    0    0     0     0 3625 4271  6  0 94  0  0
 1  0      0 29699040 230284 31112688    0    0     0     0 3792 32361  6  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 29694440 230284 31113376    0    0     0     4 3853 6424  7  0 93  0  0
 1  0      0 29694188 230292 31113560    0    0     0    12 3514 5372  6  0 94  0  0
 1  0      0 29693684 230292 31113904    0    0     0     0 3470 5727  6  0 94  0  0
 1  0      0 29693432 230292 31114304    0    0     0     0 3556 6285  6  0 94  0  0
 1  0      0 29688832 230300 31114904    0    0     0    76 3615 6297  6  0 94  0  0
 1  0      0 29688580 230300 31115104    0    0     0     0 3608 5484  6  0 94  0  0
 1  0      0 29688076 230308 31115552    0    0     0    12 3574 6048  6  0 94  0  0
 1  0      0 29687824 230308 31115968    0    0     0    12 3509 5637  6  0 94  0  0
 1  0      0 29687824 230308 31116304    0    0     0 13412 3576 5763  6  0 94  0  0
 1  0      0 29675032 230316 31116612    0    0     0    32 3523 5611  6  0 94  0  0
 1  0      0 29674780 230316 31117388    0    0     0     0 3563 8828  7  0 93  0  0
